phase,agent,agent_start,agent_end,agent_elapsed_sec,episodes_total,train_episodes,test_episodes
mid,PPO,2025-11-04T19:56:55.834583,2025-11-04T22:11:16.596273,8061.196,21000,6000,15000
mid,PPO,2025-11-04T19:57:52.667537,2025-11-04T22:12:30.397780,8078.164,21000,6000,15000
mid,PPO,2025-11-04T19:57:45.859604,2025-11-04T22:12:31.207663,8085.782,21000,6000,15000
mid,PPO,2025-11-04T19:58:38.087984,2025-11-04T22:13:25.238721,8087.584,21000,6000,15000
mid,PPO,2025-11-04T20:00:19.308292,2025-11-04T22:15:34.167825,8115.292,21000,6000,15000
mid,PPO,2025-11-04T20:01:29.040835,2025-11-04T22:16:35.010284,8106.401,21000,6000,15000
mid,PPO,2025-11-04T21:16:10.452177,2025-11-04T23:30:29.602707,8059.537,21000,6000,15000
mid,SAC,2025-11-04T22:11:16.599617,2025-11-05T00:25:42.707655,8066.502,21000,6000,15000
mid,SAC,2025-11-04T22:12:31.210447,2025-11-05T00:26:54.214649,8063.398,21000,6000,15000
mid,SAC,2025-11-04T22:12:30.401158,2025-11-05T00:26:54.882630,8064.876,21000,6000,15000
mid,SAC,2025-11-04T22:13:25.249142,2025-11-05T00:27:56.658317,8071.803,21000,6000,15000
mid,SAC,2025-11-04T22:15:34.170649,2025-11-05T00:30:35.408233,8101.632,21000,6000,15000
mid,SAC,2025-11-04T22:16:35.013732,2025-11-05T00:31:49.850704,8115.233,21000,6000,15000
mid,SAC,2025-11-04T23:30:29.605738,2025-11-05T01:44:59.569614,8070.338,21000,6000,15000
mid,TD3,2025-11-05T00:25:42.711135,2025-11-05T02:40:10.366198,8068.123,21000,6000,15000
mid,TD3,2025-11-05T00:26:54.217915,2025-11-05T02:41:35.817289,8082.069,21000,6000,15000
mid,TD3,2025-11-05T00:26:54.885441,2025-11-05T02:41:46.727051,8092.313,21000,6000,15000
mid,TD3,2025-11-05T00:27:56.660852,2025-11-05T02:42:37.365412,8081.177,21000,6000,15000
mid,TD3,2025-11-05T00:30:35.412514,2025-11-05T02:45:40.273965,8105.34,21000,6000,15000
mid,TD3,2025-11-05T00:31:49.854060,2025-11-05T02:47:09.100991,8119.728,21000,6000,15000
mid,TD3,2025-11-05T01:44:59.572382,2025-11-05T03:59:38.502543,8079.46,21000,6000,15000
mid,DDPG,2025-11-05T02:40:10.370605,2025-11-05T04:54:33.694833,8063.776,21000,6000,15000
mid,DDPG,2025-11-05T02:41:35.820051,2025-11-05T04:56:01.674628,8066.307,21000,6000,15000
mid,DDPG,2025-11-05T02:41:46.729996,2025-11-05T04:56:30.962314,8084.683,21000,6000,15000
mid,DDPG,2025-11-05T02:42:37.369257,2025-11-05T04:57:08.873231,8071.955,21000,6000,15000
mid,DDPG,2025-11-05T02:45:40.277637,2025-11-05T05:00:38.665302,8098.837,21000,6000,15000
mid,DDPG,2025-11-05T02:47:09.103585,2025-11-05T05:02:36.421142,8127.764,21000,6000,15000
mid,DDPG,2025-11-05T03:59:38.505619,2025-11-05T06:14:02.343190,8064.335,21000,6000,15000
mid,A2C,2025-11-05T04:54:33.697865,2025-11-05T07:09:07.656358,8074.517,21000,6000,15000
mid,A2C,2025-11-05T04:56:01.677662,2025-11-05T07:10:35.106388,8073.988,21000,6000,15000
mid,A2C,2025-11-05T04:56:30.965877,2025-11-05T07:11:22.290202,8091.888,21000,6000,15000
mid,A2C,2025-11-05T04:57:08.876413,2025-11-05T07:11:43.330430,8075.017,21000,6000,15000
mid,A2C,2025-11-05T05:00:38.668069,2025-11-05T07:15:36.850862,8098.758,21000,6000,15000
mid,A2C,2025-11-05T05:02:36.423506,2025-11-05T07:17:29.784046,8093.947,21000,6000,15000
mid,A2C,2025-11-05T06:14:02.347119,2025-11-05T08:28:38.833055,8077.036,21000,6000,15000
mid,DQN,2025-11-05T07:09:07.659937,2025-11-05T09:23:46.493797,8079.359,21000,6000,15000
mid,DQN,2025-11-05T07:10:35.109505,2025-11-05T09:25:15.046387,8080.465,21000,6000,15000
mid,DQN,2025-11-05T07:11:22.295017,2025-11-05T09:26:03.988003,8082.218,21000,6000,15000
mid,DQN,2025-11-05T07:11:43.334811,2025-11-05T09:26:27.230808,8084.422,21000,6000,15000
mid,DQN,2025-11-05T07:15:36.854413,2025-11-05T09:30:32.202560,8095.873,21000,6000,15000
mid,DQN,2025-11-05T07:17:29.787068,2025-11-05T09:32:40.230295,8110.973,21000,6000,15000
mid,DQN,2025-11-05T08:28:38.835736,2025-11-05T10:43:18.314663,8079.972,21000,6000,15000
mid,MADDPG,2025-11-05T09:23:46.497792,2025-11-05T11:38:28.317085,8082.212,21000,6000,15000
mid,MADDPG,2025-11-05T09:25:15.050351,2025-11-05T11:39:53.449661,8078.788,21000,6000,15000
mid,MADDPG,2025-11-05T09:26:03.991217,2025-11-05T11:40:56.229091,8092.627,21000,6000,15000
mid,MADDPG,2025-11-05T09:26:27.233630,2025-11-05T11:41:27.371347,8100.527,21000,6000,15000
mid,MADDPG,2025-11-05T09:30:32.205243,2025-11-05T11:45:56.597099,8124.771,21000,6000,15000
mid,MADDPG,2025-11-05T09:32:40.232527,2025-11-05T11:47:57.931364,8118.065,21000,6000,15000
mid,MADDPG,2025-11-05T10:43:18.353785,2025-11-05T12:58:07.881201,8089.914,21000,6000,15000
